iter	Passed	Remaining
0	4	478
1	9	459
2	13	450
3	18	447
4	23	443
5	27	434
6	32	432
7	37	430
8	42	432
9	47	427
10	51	420
11	57	420
12	61	413
13	65	402
14	70	398
15	74	393
16	79	388
17	84	383
18	88	378
19	93	374
20	98	368
21	102	363
22	107	358
23	111	353
24	116	348
25	120	344
26	125	339
27	130	334
28	133	327
29	138	323
30	143	318
31	147	314
32	152	309
33	156	303
34	159	296
35	162	288
36	164	280
37	166	272
38	168	263
39	170	256
40	172	247
41	174	240
42	175	232
43	177	225
44	179	218
45	180	211
46	181	205
47	183	198
48	184	191
49	185	185
50	186	179
51	187	173
52	189	167
53	190	162
54	192	157
55	192	151
56	193	146
57	194	141
58	196	136
59	197	131
60	199	127
61	200	122
62	201	118
63	202	114
64	204	109
65	205	105
66	206	101
67	208	97
68	209	94
69	211	90
70	212	86
71	213	83
72	214	79
73	216	76
74	217	72
75	218	69
76	220	65
77	221	62
78	222	59
79	224	56
80	225	52
81	227	49
82	228	46
83	229	43
84	230	40
85	232	37
86	233	34
87	234	32
88	236	29
89	237	26
90	238	23
91	239	20
92	240	18
93	241	15
94	243	12
95	244	10
96	245	7
97	247	5
98	247	2
99	249	0
