iter	RMSE
0	14.55261348
1	14.08195593
2	13.65289928
3	13.21535711
4	12.84372364
5	12.41505962
6	12.05684985
7	11.65294346
8	11.2792223
9	10.89816465
10	10.54682955
11	10.21053095
12	9.895055107
13	9.585145217
14	9.27543092
15	9.020563596
16	8.725922429
17	8.467161842
18	8.204936447
19	7.954439107
20	7.715076293
21	7.461617782
22	7.258123071
23	7.028422386
24	6.825405604
25	6.607783358
26	6.403330488
27	6.208909285
28	6.027385074
29	5.836534544
30	5.677873372
31	5.523135657
32	5.366323013
33	5.207815433
34	5.058924604
35	4.915582119
36	4.785544701
37	4.658930125
38	4.515666807
39	4.38713153
40	4.275850335
41	4.157002702
42	4.040724534
43	3.930813428
44	3.818842996
45	3.714432006
46	3.612181814
47	3.500437811
48	3.399257016
49	3.313532917
50	3.231709077
51	3.136836103
52	3.050474554
53	2.971642898
54	2.892725101
55	2.811430631
56	2.731974482
57	2.658947509
58	2.582820216
59	2.514265979
60	2.456017887
61	2.392225654
62	2.33108896
63	2.287139798
64	2.23451703
65	2.185319677
66	2.126161487
67	2.084860018
68	2.038888541
69	1.989269815
70	1.949929674
71	1.900025376
72	1.854440754
73	1.813358248
74	1.782093257
75	1.74493357
76	1.704570382
77	1.66733988
78	1.634449726
79	1.606533565
80	1.576269514
81	1.544357461
82	1.514252115
83	1.480481448
84	1.45550508
85	1.42973897
86	1.403584164
87	1.378487174
88	1.353052126
89	1.331825044
90	1.309408313
91	1.288127238
92	1.268473934
93	1.247661032
94	1.228714765
95	1.209839137
96	1.190644067
97	1.172547846
98	1.159215394
99	1.144078241
100	1.127410338
101	1.110866828
102	1.095223613
103	1.092633413
104	1.077592664
105	1.063893891
106	1.050208277
107	1.035908814
108	1.025731617
109	1.014111347
110	1.002390247
111	0.9939454916
112	0.9888380661
113	0.9827257145
114	0.9723753118
115	0.9672092474
116	0.9571369595
117	0.9545104018
118	0.9515625993
119	0.9419184586
120	0.9392944016
121	0.9286056368
122	0.9188546231
123	0.9101960793
124	0.9033082643
125	0.8953616547
126	0.8874758378
127	0.8787264205
128	0.8762041862
129	0.8739450027
130	0.8710608323
131	0.8679945712
132	0.8616795062
133	0.8535459231
134	0.8459054034
135	0.8433253994
136	0.8411205911
137	0.8338172697
138	0.8305635237
139	0.8287455139
140	0.8213726901
141	0.8195007256
142	0.8134456244
143	0.8085185674
144	0.8061946378
145	0.8017826998
146	0.7962543478
147	0.7924258902
148	0.7840388234
149	0.7800556656
150	0.7728195913
151	0.7660762283
152	0.7591144292
153	0.7577753191
154	0.7558067565
155	0.7511998832
156	0.7458387525
157	0.744294944
158	0.7368294219
159	0.7312446291
160	0.7289748924
161	0.7230249114
162	0.7206415365
163	0.7187082268
164	0.7171638717
165	0.713117411
166	0.7083692576
167	0.703948327
168	0.7027455181
169	0.7011128439
170	0.6959156796
171	0.68989736
172	0.6841412625
173	0.6828957636
174	0.6777744067
175	0.6767469638
176	0.6743470389
177	0.6694215712
178	0.6650052762
179	0.6631687088
180	0.6612585837
181	0.6592354607
182	0.6582771902
183	0.6567004282
184	0.653398205
185	0.648393402
186	0.6471791042
187	0.6462941507
188	0.6425938029
189	0.6416357939
190	0.6404114689
191	0.6373917477
192	0.6358942206
193	0.6350802098
194	0.6340919223
195	0.6302434049
196	0.6262207405
197	0.6227395776
198	0.621984525
199	0.618439767
200	0.6171343218
201	0.6155187616
202	0.6124219626
203	0.611161075
204	0.6097773622
205	0.6071952384
206	0.6062300451
207	0.6055095386
208	0.604599922
209	0.6036468897
210	0.6024597538
211	0.5974753589
212	0.5945174305
213	0.5938467886
214	0.5918156434
215	0.5909624633
216	0.588028416
217	0.5870153058
218	0.5862737198
219	0.5827986267
220	0.5815753477
221	0.576976553
222	0.5764040863
223	0.5759038894
224	0.5734905755
225	0.5724687518
226	0.5697845127
227	0.5691298397
228	0.5660334002
229	0.5620137929
230	0.5611738534
231	0.5574467758
232	0.5570112953
233	0.5563454066
234	0.553454139
235	0.552983151
236	0.5498201764
237	0.5490638367
238	0.5458888538
239	0.5451996961
240	0.5431785935
241	0.5428044365
242	0.5423899721
243	0.5394255668
244	0.5390165334
245	0.5371779381
246	0.5367925466
247	0.5347727956
248	0.5318795027
249	0.5315121494
250	0.5294509367
251	0.5262968019
252	0.525944947
253	0.5255410351
254	0.5251924649
255	0.5224846562
256	0.5204278499
257	0.5173360823
258	0.5150558668
259	0.5147693624
260	0.511964035
261	0.5083222162
262	0.5064726844
263	0.5046980354
264	0.50266909
265	0.5019050344
266	0.4992809224
267	0.4990332338
268	0.4964502665
269	0.4951212344
270	0.4933511438
271	0.4915077849
272	0.4892967638
273	0.4885854393
274	0.4878929305
275	0.4872187178
276	0.4850634162
277	0.484406666
278	0.4837672888
279	0.4814668405
280	0.4808443954
281	0.4786450037
282	0.4780393825
283	0.476420026
284	0.4758330211
285	0.4732033023
286	0.4726317578
287	0.471319507
288	0.4696642306
289	0.4690090529
290	0.4664979041
291	0.4640956516
292	0.4612550039
293	0.4589352044
294	0.4561469307
295	0.4535332489
296	0.4524308587
297	0.4494766025
298	0.4469932228
299	0.4468456268
300	0.4450196434
301	0.442372539
302	0.4402338329
303	0.4376517786
304	0.435326784
305	0.4327068503
306	0.4305600804
307	0.4289737082
308	0.4273297324
309	0.4256240408
310	0.4236845937
311	0.4217960458
312	0.4200891559
313	0.4186277609
314	0.4172503604
315	0.4154687189
316	0.4131719259
317	0.4115389347
318	0.4099481378
319	0.4083990485
320	0.407230581
321	0.4052512247
322	0.4034200452
323	0.4021502488
324	0.4003620337
325	0.3991578599
326	0.3974520332
327	0.3962913641
328	0.3947215337
329	0.3939151537
330	0.3924581231
331	0.3903949794
332	0.3887102771
333	0.3871371273
334	0.3857684344
335	0.3837690771
336	0.3822018495
337	0.3807233577
338	0.3798225326
339	0.3780278738
340	0.3768060362
341	0.3757701396
342	0.3750920083
343	0.3741175177
344	0.3726620292
345	0.3710474418
346	0.3692621652
347	0.3676636007
348	0.3660738125
349	0.3644939185
350	0.3632152842
351	0.3615108104
352	0.3604062628
353	0.3591073589
354	0.3579499852
355	0.3568486439
356	0.3553177063
357	0.3541461889
358	0.3523659872
359	0.3511388326
360	0.3502771359
361	0.3494502078
362	0.348426326
363	0.3467083512
364	0.3454800346
365	0.3442935274
366	0.3433378438
367	0.3421888544
368	0.3411842284
369	0.3400798488
370	0.3385339207
371	0.3372803824
372	0.3364387289
373	0.3352236277
374	0.3343269467
375	0.3331644203
376	0.3320903468
377	0.3313831554
378	0.3303696026
379	0.3295320366
380	0.3287597096
381	0.3275530766
382	0.3261103656
383	0.3253249974
384	0.3243116286
385	0.3232003093
386	0.3218311876
387	0.3204513499
388	0.3193636031
389	0.3183950693
390	0.3176650935
391	0.3167176645
392	0.3154273098
393	0.31476406
394	0.3138563412
395	0.3122776647
396	0.3111469226
397	0.3104247146
398	0.3094560398
399	0.3092241691
400	0.3082113585
401	0.3075674424
402	0.3068801661
403	0.3061664846
404	0.3047288414
405	0.3041215414
406	0.3035248271
407	0.3028479688
408	0.3020009069
409	0.3007741782
410	0.3005657065
411	0.2999976284
412	0.2987373715
413	0.2975663119
414	0.2963265963
415	0.2956446327
416	0.2950257874
417	0.2936361222
418	0.2930615125
419	0.2925955988
420	0.291985197
421	0.2913529976
422	0.2903015457
423	0.2890604302
424	0.2879496501
425	0.2873740699
426	0.2865070605
427	0.2854261546
428	0.2846923593
429	0.2845070508
430	0.2833695883
431	0.2828239972
432	0.2826454112
433	0.2818499755
434	0.2807643949
435	0.2800313366
436	0.2787791884
437	0.2783036351
438	0.277735028
439	0.2768010574
440	0.276315559
441	0.2761498894
442	0.2756300392
443	0.2754676876
444	0.2749735805
445	0.2739474067
446	0.2737937115
447	0.2730498652
448	0.2724737973
449	0.2723234968
450	0.2717253907
451	0.2715779666
452	0.2707625575
453	0.2703194254
454	0.2696807686
455	0.268717764
456	0.2679213292
457	0.2675060631
458	0.266644842
459	0.2661948174
460	0.2655079786
461	0.2647319871
462	0.2643082975
463	0.2639347147
464	0.2632667635
465	0.2627703294
466	0.2618970104
467	0.2606812213
468	0.2598742352
469	0.25943293
470	0.2584496124
471	0.2579442924
472	0.257155819
473	0.2563268408
474	0.255371607
475	0.2545620476
476	0.2544327232
477	0.2537874429
478	0.2534259972
479	0.2533057406
480	0.2530326413
481	0.2524301627
482	0.2516714565
483	0.2515551623
484	0.2514415568
485	0.2505523745
486	0.249843669
487	0.2497293146
488	0.2488718682
489	0.2487601881
490	0.2478764596
491	0.2474827848
492	0.2468441932
493	0.2461063776
494	0.2455866855
495	0.244916045
496	0.2442625991
497	0.2436312427
498	0.2427277119
499	0.241987797
500	0.2413513061
501	0.2407804576
502	0.2402412557
503	0.2394916736
504	0.2393848331
505	0.2387516585
506	0.2380642898
507	0.2373056013
508	0.2369651068
509	0.2366806412
510	0.2360513889
511	0.2356662241
512	0.2353805603
513	0.2350161079
514	0.2340610288
515	0.2332422567
516	0.2327546621
517	0.2320002322
518	0.2319049404
519	0.2316189996
520	0.2310502547
521	0.2309572963
522	0.2303504213
523	0.2299647647
524	0.2296294772
525	0.2290971652
526	0.2287207026
527	0.2283831581
528	0.2282963907
529	0.227672458
530	0.2275857992
531	0.2268306025
532	0.2260699604
533	0.2257717431
534	0.2250220653
535	0.2243411349
536	0.2234465604
537	0.2227861787
538	0.2224418539
539	0.2222721904
540	0.2219239108
541	0.2217147259
542	0.2206217746
543	0.2199611093
544	0.2194512893
545	0.2188831222
546	0.218652997
547	0.2181950569
548	0.2175700003
549	0.2167675266
550	0.2160466811
551	0.2159661592
552	0.215442662
553	0.2147461939
554	0.2141960342
555	0.2137690428
556	0.2131033553
557	0.2129629532
558	0.2125412163
559	0.2124633935
560	0.2122512942
561	0.2115397044
562	0.2108977325
563	0.2103770029
564	0.2099008335
565	0.2097374863
566	0.209277401
567	0.2089619305
568	0.2084797164
569	0.2078363473
570	0.2070298038
571	0.2068350232
572	0.2065153642
573	0.2063609897
574	0.2057745031
575	0.2055750349
576	0.2054084253
577	0.2049184424
578	0.2039605619
579	0.2038890156
580	0.2035412238
581	0.2032039907
582	0.2027542502
583	0.2026096681
584	0.2021146203
585	0.2017968561
586	0.2010570865
587	0.20085614
588	0.2006053424
589	0.2003305104
590	0.200050996
591	0.1998129107
592	0.1993120144
593	0.1986767125
594	0.1979718291
595	0.1973696183
596	0.1968653513
597	0.1965794063
598	0.1964387039
599	0.1958557355
600	0.1957440374
601	0.1952453142
602	0.1946942056
603	0.1941905129
604	0.1937563408
605	0.1932606983
606	0.1928395971
607	0.1922057425
608	0.191966887
609	0.1914901576
610	0.1908923333
611	0.1905858629
612	0.1904168593
613	0.1900444662
614	0.1894803557
615	0.1891199329
616	0.1889598016
617	0.1887735695
618	0.1882641343
619	0.1879948131
620	0.1875641228
621	0.1871761132
622	0.1869303181
623	0.1867182412
624	0.186569953
625	0.1861488482
626	0.1856376311
627	0.1851310653
628	0.1845485498
629	0.1842544601
630	0.1837663872
631	0.1835220398
632	0.1831169824
633	0.182689745
634	0.1822365581
635	0.1818670138
636	0.1815050849
637	0.1812777047
638	0.1807339474
639	0.1804928857
640	0.1801557917
641	0.1796702942
642	0.1791968525
643	0.1790439807
644	0.1785031976
645	0.1781018117
646	0.1778552209
647	0.1775762893
648	0.1774367961
649	0.1771539504
650	0.1767407239
651	0.1761616555
652	0.1757892845
653	0.1752406107
654	0.1748023697
655	0.1745084484
656	0.1744230934
657	0.1739334154
658	0.1738139737
659	0.1733938048
660	0.1732018054
661	0.1730149065
662	0.1725778541
663	0.1720698615
664	0.1718576157
665	0.1714579239
666	0.171283078
667	0.1709226184
668	0.1708048247
669	0.1703033759
670	0.1700403957
671	0.1696146727
672	0.1692112241
673	0.169155055
674	0.1686595738
675	0.1685328486
676	0.1681712462
677	0.1677569108
678	0.1675328738
679	0.1670103162
680	0.1667494796
681	0.1665041366
682	0.1663338271
683	0.1659093317
684	0.1654865504
685	0.1652774684
686	0.1650853801
687	0.1650346739
688	0.1646023018
689	0.1641319737
690	0.1636901514
691	0.1632876872
692	0.1631401412
693	0.1627432929
694	0.1624041319
695	0.1621597494
696	0.1617209276
697	0.1613624318
698	0.1612576048
699	0.1608926554
700	0.1606027283
701	0.1603484927
702	0.1599111321
703	0.1597708065
704	0.1593687147
705	0.1591751767
706	0.1589641807
707	0.1586574613
708	0.1584745065
709	0.1581000336
710	0.1578479929
711	0.1576722585
712	0.1573848204
713	0.1569361669
714	0.15663179
715	0.1564356417
716	0.1562677865
717	0.1559108307
718	0.1556190243
719	0.1552760638
720	0.1549098952
721	0.1547176105
722	0.1544688134
723	0.1539942741
724	0.1538947216
725	0.1535974114
726	0.1533928438
727	0.1530265602
728	0.1527586292
729	0.1525701974
730	0.1523790909
731	0.1519903663
732	0.1517072955
733	0.1516029078
734	0.1511973301
735	0.1507939019
736	0.1506621955
737	0.1503847394
738	0.1501215011
739	0.1497427564
740	0.1494096097
741	0.149166267
742	0.1488856469
743	0.1487374919
744	0.1483979662
745	0.1480573062
746	0.1479968969
747	0.1478030297
748	0.1476208807
749	0.1472379242
750	0.146929022
751	0.146727959
752	0.1464136745
753	0.1461960056
754	0.1460386891
755	0.1456844049
756	0.1453568895
757	0.1451931186
758	0.144817203
759	0.1445871681
760	0.1442580394
761	0.1439323247
762	0.1436845144
763	0.1434295517
764	0.143165228
765	0.1428447538
766	0.1427887605
767	0.1425150224
768	0.142166488
769	0.1419230328
770	0.1415743021
771	0.1413284586
772	0.1410383176
773	0.140710208
774	0.1406629686
775	0.1403326172
776	0.1402078081
777	0.1400701557
778	0.1397957127
779	0.1395277561
780	0.1391606215
781	0.1389081244
782	0.1385986858
783	0.1382905317
784	0.1381803001
785	0.1380466604
786	0.1377620785
787	0.1376031847
788	0.1374516645
789	0.1371541261
790	0.1368418596
791	0.1367112816
792	0.1364400204
793	0.1362982139
794	0.1359215629
795	0.1356617932
796	0.1356029261
797	0.1353262854
798	0.1351962439
799	0.1350692914
800	0.1349718249
801	0.134695937
802	0.1345936836
803	0.1342740648
804	0.1339918705
805	0.1338072873
806	0.1335773262
807	0.1334081066
808	0.1332282642
809	0.132948186
810	0.1327415636
811	0.1324637375
812	0.1323071791
813	0.132133527
814	0.1318361263
815	0.131531769
816	0.1314048071
817	0.1311428568
818	0.1309970396
819	0.1309170796
820	0.1307665389
821	0.1306257344
822	0.1305560993
823	0.1304141102
824	0.1300870188
825	0.1298424984
826	0.129593116
827	0.129315665
828	0.1290601886
829	0.1287938188
830	0.1285380974
831	0.1284696932
832	0.1282634064
833	0.1280357097
834	0.1279363229
835	0.1278248636
836	0.1276559932
837	0.1274304141
838	0.1272151983
839	0.1269408176
840	0.1267295565
841	0.1264723671
842	0.1262526335
843	0.1260056085
844	0.1257328713
845	0.125612089
846	0.1254928968
847	0.1254029391
848	0.1252750018
849	0.1249792929
850	0.1247630958
851	0.1245145113
852	0.1244423039
853	0.1242231319
854	0.1239810705
855	0.1237489604
856	0.1235543729
857	0.1234490117
858	0.1232231498
859	0.1230805505
860	0.1229166096
861	0.1228704432
862	0.1227875627
863	0.1226898187
864	0.1224520659
865	0.1221860611
866	0.1220330475
867	0.1217713771
868	0.1215467188
869	0.1213965639
870	0.1212178717
871	0.1210991135
872	0.1210575589
873	0.1209506134
874	0.1208787185
875	0.1207375956
876	0.1205169729
877	0.1202898923
878	0.1201209196
879	0.1200170656
880	0.1199136266
881	0.119756504
882	0.1195722075
883	0.119383153
884	0.1192382513
885	0.1189853586
886	0.1187359884
887	0.1187186972
888	0.1184549261
889	0.1182102809
890	0.117987081
891	0.1178003344
892	0.1177058592
893	0.117548492
894	0.1173493006
895	0.1171765259
896	0.1171070902
897	0.1168464466
898	0.1166468811
899	0.1164190115
900	0.1162554066
901	0.1160588653
902	0.1158345979
903	0.1156201993
904	0.1154202631
905	0.1153382876
906	0.1152726611
907	0.1151511169
908	0.1150583104
909	0.114918509
910	0.1146696044
911	0.1144338828
912	0.1143215528
913	0.1141075973
914	0.1139176319
915	0.113683873
916	0.1135503808
917	0.1133797412
918	0.1132394855
919	0.1132139758
920	0.1130080188
921	0.1128428441
922	0.1126096134
923	0.1124370011
924	0.1123161499
925	0.1122178357
926	0.1120437026
927	0.1119143859
928	0.1116969946
929	0.1115725626
930	0.1113671142
931	0.1111136467
932	0.1109197943
933	0.1108334142
934	0.1107402819
935	0.1106642496
936	0.1104840696
937	0.1102216507
938	0.1101159329
939	0.1099983905
940	0.109771255
941	0.1095185074
942	0.1093213149
943	0.1091720648
944	0.1090973889
945	0.1088934154
946	0.1088141519
947	0.1087833163
948	0.1085982356
949	0.1085664321
950	0.1083421055
951	0.1081131277
952	0.1079179689
953	0.1078802818
954	0.1077196789
