iter	Passed	Remaining
0	7	7268
1	12	6477
2	19	6570
3	27	6736
4	36	7353
5	43	7142
6	51	7262
7	56	7027
8	64	7059
9	74	7418
10	80	7265
11	86	7126
12	94	7191
13	100	7061
14	105	6952
15	113	6979
16	119	6891
17	128	7008
18	133	6897
19	138	6767
20	141	6600
21	143	6401
22	146	6219
23	148	6055
24	151	5889
25	153	5736
26	155	5590
27	157	5451
28	158	5309
29	160	5179
30	161	5058
31	163	4939
32	164	4829
33	166	4735
34	168	4652
35	170	4560
36	171	4468
37	173	4386
38	174	4305
39	176	4230
40	177	4162
41	179	4096
42	181	4044
43	183	3990
44	185	3930
45	186	3871
46	188	3818
47	189	3762
48	191	3710
49	192	3661
50	194	3615
51	196	3577
52	197	3535
53	199	3493
54	200	3450
55	202	3412
56	203	3374
57	205	3336
58	206	3301
59	208	3268
60	210	3237
61	212	3208
62	213	3176
63	215	3144
64	216	3116
65	218	3088
66	219	3058
67	221	3029
68	222	2999
69	223	2973
70	225	2949
71	227	2928
72	228	2905
73	230	2882
74	231	2859
75	233	2837
76	234	2814
77	236	2793
78	237	2773
79	239	2753
80	241	2736
81	242	2719
82	244	2701
83	246	2683
84	247	2665
85	249	2648
86	250	2632
87	252	2615
88	253	2598
89	255	2581
90	257	2569
91	258	2555
92	260	2540
93	261	2524
94	263	2510
95	265	2495
96	266	2482
97	268	2468
98	270	2458
99	271	2446
100	273	2433
101	274	2420
102	276	2406
103	277	2388
104	278	2376
105	280	2363
106	281	2350
107	283	2339
108	284	2328
109	286	2318
110	288	2308
111	289	2297
112	291	2285
113	292	2275
114	294	2263
115	295	2252
116	297	2242
117	298	2228
118	299	2219
119	301	2211
120	302	2200
121	304	2191
122	306	2182
123	307	2173
124	309	2163
125	310	2154
126	312	2145
127	313	2137
128	315	2129
129	316	2117
130	318	2109
131	319	2099
132	320	2089
133	322	2081
134	323	2072
135	325	2064
136	326	2055
137	327	2047
138	329	2041
139	330	2033
140	332	2026
141	334	2018
142	335	2011
143	337	2003
144	338	1997
145	340	1990
146	342	1985
147	343	1980
148	346	1977
149	348	1972
150	350	1973
151	353	1969
152	355	1966
153	355	1955
154	359	1957
155	361	1953
156	362	1947
157	364	1941
158	365	1935
159	367	1929
160	369	1923
161	370	1918
162	372	1911
163	373	1903
164	375	1900
165	377	1896
166	379	1891
167	380	1885
168	381	1877
169	383	1872
170	385	1867
171	387	1863
172	388	1859
173	390	1855
174	392	1851
175	394	1845
176	395	1839
177	397	1834
178	398	1829
179	400	1824
180	402	1819
181	403	1814
182	404	1807
183	406	1803
184	408	1798
185	409	1793
186	411	1788
187	412	1781
188	413	1775
189	414	1768
190	416	1764
191	418	1759
192	419	1756
193	421	1749
194	422	1744
195	424	1740
196	425	1735
197	427	1731
198	428	1724
199	429	1719
200	431	1715
201	433	1711
202	435	1709
203	437	1706
204	438	1702
205	440	1697
206	441	1693
207	443	1687
208	444	1682
209	446	1678
210	448	1675
211	449	1672
212	451	1669
213	452	1663
214	454	1659
215	455	1654
216	457	1651
217	459	1646
218	460	1642
219	461	1637
220	464	1636
221	466	1633
222	467	1629
223	468	1623
224	470	1619
225	471	1615
226	473	1611
227	474	1608
228	476	1604
229	478	1601
230	481	1601
231	482	1597
232	483	1591
233	484	1586
234	486	1582
235	487	1579
236	489	1575
237	490	1571
238	492	1568
239	493	1564
240	495	1561
241	496	1555
242	497	1550
243	499	1546
